timestamp,VTHO,OCE,PLA,SHA,DBET,EHrT,TIC,YEET,Other
1548996900000,998271.65,0.00,1188543.10,2369810.39,384953.02,0.00,0.00,0.00,0.00
1549006930000,998116.31,0.00,1195130.74,2369810.39,378365.39,0.00,0.00,0.00,0.00
1549017020000,996693.08,0.00,1195130.74,2369810.39,378365.39,0.00,0.00,0.00,0.00
1549027100000,997693.08,0.00,1195130.74,2369810.39,378365.39,0.00,0.00,0.00,0.00
1549037280000,1102538.24,0.00,1195130.74,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549047390000,1102538.24,0.00,1195130.74,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549057480000,1100113.29,0.00,1195130.74,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549067600000,1089226.29,0.00,1195130.74,2405237.70,378365.39,0.00,0.00,0.00,0.00
1549077780000,1089148.98,0.00,1195130.74,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549087950000,1089148.98,0.00,1195130.74,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549098140000,1089309.17,0.00,1195130.74,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549108270000,1089309.17,0.00,1195130.74,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549118460000,1089070.94,0.00,1195130.74,2429406.14,378365.39,0.00,0.00,0.00,0.00
1549128610000,1088242.93,0.00,1195130.74,2407731.50,378365.39,0.00,0.00,0.00,0.00
1549138840000,1088089.03,0.00,1195130.74,2407731.50,378365.39,0.00,0.00,0.00,0.00
1549148920000,1088089.03,0.00,1195130.74,2407731.50,378365.39,0.00,0.00,0.00,0.00
1549159030000,1088009.92,0.00,1195130.74,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549169280000,1086792.32,0.00,1195130.74,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549179440000,1085499.78,0.00,1195130.74,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549189660000,1085491.51,0.00,1195130.74,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549199900000,1085373.03,0.00,1195130.74,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549210090000,1085373.03,0.00,1195130.74,3859267.54,378365.39,0.00,0.00,0.00,0.00
1549220280000,1095373.03,0.00,1195130.74,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549230580000,1095373.03,0.00,1195130.74,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549240810000,1091376.74,0.00,1195130.74,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549251000000,1090137.64,0.00,1195130.74,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549261270000,1090207.61,0.00,1195130.74,4677734.24,401713.17,0.00,0.00,0.00,0.00
1549271490000,1090199.80,0.00,1195138.55,4795734.24,401713.17,0.00,0.00,0.00,0.00
1549281700000,1150199.80,0.00,1195138.55,4795734.24,401713.17,0.00,0.00,0.00,0.00
1549291940000,1128112.27,0.00,1266175.90,4697614.29,401713.17,0.00,0.00,0.00,0.00
1549302170000,1148153.97,0.00,1172357.53,4745335.97,385642.33,0.00,0.00,0.00,0.00
1549312400000,992600.52,0.00,1303921.64,4689768.59,474535.38,0.00,0.00,0.00,0.00
1549322640000,1123526.40,0.00,1276242.75,4638281.26,467266.09,0.00,0.00,0.00,0.00
1549332720000,1117096.34,0.00,1356231.13,4629106.15,467266.09,0.00,0.00,0.00,0.00
1549342890000,1151364.65,0.00,1437275.33,4629106.15,467266.09,0.00,0.00,0.00,0.00
