timestamp,VTHO,OCE,PLA,SHA,DBET,EHrT,TIC,YEET,Other
1549179440000,1296.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549189660000,8.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549199900000,118.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549210090000,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00
1549220280000,0.00,0.00,0.00,74950.00,0.00,0.00,0.00,0.00,0.00
1549230580000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549240810000,4008.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549251000000,259.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549261270000,69.98,0.00,0.00,117838.70,28993.85,0.00,0.00,0.00,0.00
1549271490000,7.83,0.00,7.81,118000.00,0.00,0.00,0.00,0.00,0.00
1549281700000,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549291940000,27219.19,0.00,60965.08,249747.85,0.00,0.00,0.00,0.00,0.00
1549302170000,4972.21,0.00,311212.55,105386.72,100145.43,0.00,0.00,0.00,0.00
1549312400000,195877.92,0.00,293834.48,156545.24,120575.49,0.00,0.00,0.00,0.00
1549322640000,98343.27,0.00,256028.08,155093.42,200202.66,0.00,0.00,0.00,0.00
1549332720000,7750.32,0.00,125344.96,11964.52,0.00,0.00,0.00,0.00,0.00
1549342890000,9706.63,0.00,2521.90,0.00,0.00,0.00,0.00,0.00,0.00
1549353060000,20083.04,0.00,53528.06,8000.00,0.00,0.00,0.00,0.00,0.00
1549363320000,3533.12,0.00,4990.19,0.00,0.00,0.00,0.00,0.00,0.00
1549373570000,1609.53,0.00,50898.96,932.60,672.09,0.00,0.00,0.00,0.00
1549383870000,119.98,0.00,375581.68,283637.26,0.00,0.00,0.00,0.00,0.00
1549394020000,18913.32,0.00,199619.37,176237.71,1856.66,0.00,0.00,0.00,0.00
1549404200000,49162.84,0.00,0.00,4540.07,0.00,0.00,0.00,0.00,0.00
1549414350000,776916.09,0.00,0.00,58700.00,607.09,0.00,0.00,0.00,0.00
1549424540000,2541.77,0.00,0.00,996.12,1246.98,0.00,0.00,0.00,0.00
1549434700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549444910000,0.00,0.00,1000.00,0.00,3000.00,0.00,0.00,0.00,0.00
1549455130000,741.53,0.00,29813.21,580.29,0.00,0.00,0.00,0.00,0.00
1549465350000,1992.57,0.00,977.07,0.00,0.00,0.00,0.00,0.00,0.00
1549475570000,1602.08,0.00,252.57,0.00,0.00,0.00,0.00,0.00,0.00
1549485810000,941.21,0.00,75066.48,163984.69,0.00,0.00,0.00,0.00,0.00
1549496040000,276669.41,0.00,96687.57,1109924.67,13337.54,0.00,0.00,0.00,0.00
1549506310000,44799.70,0.00,0.00,171295.06,0.00,0.00,0.00,0.00,0.00
1549516480000,614.48,0.00,0.00,1732.98,0.00,0.00,0.00,0.00,0.00
1549526750000,2312.98,0.00,0.00,538.86,0.00,0.00,0.00,0.00,0.00
1549537000000,0.00,0.00,75031.49,100382.86,0.00,0.00,0.00,0.00,0.00
1549547250000,0.00,0.00,25000.00,344.73,0.00,0.00,0.00,0.00,0.00
1549557350000,146.35,0.00,0.00,222683.56,0.00,0.00,0.00,0.00,0.00
1549567510000,0.00,0.00,259364.11,29360.20,13118.61,0.00,0.00,0.00,0.00
1549577730000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549587870000,13775.12,0.00,392.94,0.00,0.00,0.00,0.00,0.00,0.00
1549598050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549608290000,105.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549618470000,3215.62,0.00,37860.12,53271.03,0.00,0.00,0.00,0.00,0.00
1549628650000,25211.22,0.00,199662.56,8077.30,10.00,0.00,0.00,0.00,0.00
1549638860000,115.59,0.00,320945.47,102210.42,0.00,0.00,0.00,0.00,0.00
1549649080000,0.00,0.00,145416.11,0.00,0.00,0.00,0.00,0.00,0.00
1549659370000,3063.20,0.00,33000.63,27987.72,0.00,0.00,0.00,0.00,0.00
1549669550000,3829.86,0.00,77024.25,58128.24,24744.98,0.00,0.00,0.00,0.00
1549679780000,635.30,0.00,153.52,0.00,0.00,0.00,0.00,0.00,0.00
1549690000000,73.07,0.00,50113.84,49963.50,0.00,0.00,0.00,0.00,0.00
1549700210000,5908.27,0.00,170712.45,32162.07,8158.22,0.00,0.00,0.00,0.00
1549710420000,2446.00,0.00,24500.00,450.00,0.00,0.00,0.00,0.00,0.00
1549720690000,1400.00,0.00,825.11,47350.34,0.00,0.00,0.00,0.00,0.00
1549730910000,107.14,0.00,0.00,84087.82,0.00,0.00,0.00,0.00,0.00
1549741200000,221.46,0.00,0.00,138401.42,0.00,0.00,0.00,0.00,0.00
1549751420000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549761670000,20.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549771980000,283.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549782080000,9.14,0.00,9.11,0.00,0.00,0.00,0.00,0.00,0.00
1549792150000,14883.96,0.00,1488.72,42636.58,9393.61,0.00,0.00,0.00,0.00
1549802370000,793.93,0.00,69583.05,29776.74,400.00,0.00,0.00,0.00,0.00
1549812570000,111.58,0.00,0.00,37377.23,0.00,0.00,0.00,0.00,0.00
1549822730000,3255.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549832880000,4551.45,0.00,110.24,0.00,0.00,0.00,0.00,0.00,0.00
1549842990000,4149.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549853090000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549863180000,186.74,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
1549873350000,14995.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549883480000,0.00,0.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00
1549893540000,0.00,0.00,204654.35,89273.69,0.00,0.00,0.00,0.00,0.00
1549903610000,1937.30,0.00,100.00,13100.33,22.00,0.00,0.00,0.00,0.00
1549913750000,7439.88,0.00,9348.54,20.74,0.00,0.00,0.00,0.00,0.00
1549923870000,13109.52,0.00,0.00,30153.76,0.00,0.00,0.00,0.00,0.00
1549933950000,0.00,0.00,0.00,14937.45,14982.39,0.00,0.00,0.00,0.00
1549944070000,306.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549954170000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549964260000,216.18,0.00,98851.99,215.53,0.00,0.00,0.00,0.00,0.00
1549974390000,0.00,0.00,64460.98,25000.00,0.00,0.00,0.00,0.00,0.00
1549984510000,65.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1549994670000,1827.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550004820000,0.00,0.00,5978.73,0.00,0.00,0.00,0.00,0.00,0.00
1550014940000,143.62,0.00,15143.19,0.00,0.00,0.00,0.00,0.00,0.00
1550025040000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550035180000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550045270000,520.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550055340000,0.00,0.00,109500.14,53702.45,0.00,0.00,0.00,0.00,0.00
1550065340000,1036.05,0.00,24837.74,29373.94,0.00,0.00,0.00,0.00,0.00
1550075340000,50.13,0.00,71387.80,49.98,0.00,0.00,0.00,0.00,0.00
1550085340000,71.96,0.00,13398.24,0.00,0.00,0.00,0.00,0.00,0.00
1550095340000,2707.67,0.00,89098.16,0.00,0.00,0.00,0.00,0.00,0.00
1550105340000,1871.79,0.00,1064.88,0.00,0.00,0.00,0.00,0.00,0.00
1550115340000,6521.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550125340000,197.40,0.00,12104.29,0.00,0.00,0.00,0.00,0.00,0.00
1550135340000,0.00,0.00,45679.69,22445.93,0.00,0.00,0.00,0.00,0.00
1550145340000,40000.00,0.00,95159.76,0.00,0.00,0.00,0.00,0.00,0.00
1550155340000,0.00,0.00,0.00,31718.14,0.00,0.00,0.00,0.00,0.00
1550165350000,6287.10,0.00,156689.86,6268.23,0.00,0.00,0.00,0.00,0.00
1550175350000,0.07,0.00,25000.07,80000.00,0.00,0.00,0.00,0.00,0.00
1550185350000,3816.70,0.00,1479.17,0.00,0.00,0.00,0.00,0.00,0.00
1550195360000,797.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550205370000,613.81,0.00,0.00,37356.35,37859.07,0.00,0.00,0.00,0.00
1550215380000,3441.99,0.00,0.00,37131.21,37242.94,0.00,0.00,0.00,0.00
1550225380000,60.02,0.00,0.00,22721.57,0.00,0.00,0.00,0.00,0.00
1550235380000,2951.30,0.00,511.43,0.00,0.00,0.00,0.00,0.00,0.00
1550245390000,4312.18,0.00,69486.02,41662.28,0.00,0.00,0.00,0.00,0.00
1550255400000,1002.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550265400000,108.41,0.00,72078.66,0.00,0.00,0.00,0.00,0.00,0.00
1550275400000,717.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550285400000,198.77,0.00,50.54,0.00,0.00,0.00,0.00,0.00,0.00
1550295400000,0.00,0.00,37496.97,0.00,0.00,0.00,0.00,0.00,0.00
1550305400000,0.00,0.00,43877.34,0.00,0.00,0.00,0.00,0.00,0.00
1550315400000,14279.64,0.00,41232.86,74597.91,0.00,0.00,0.00,0.00,0.00
1550325400000,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00
1550335400000,0.00,0.00,41734.30,0.00,0.00,0.00,0.00,0.00,0.00
