timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1549179440000,1085499.78,1195130.74,0.00,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549189660000,1085491.51,1195130.74,0.00,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549199900000,1085373.03,1195130.74,0.00,2709495.54,378365.39,0.00,0.00,0.00,0.00
1549210090000,1085373.03,1195130.74,0.00,3859267.54,378365.39,0.00,0.00,0.00,0.00
1549220280000,1095373.03,1195130.74,0.00,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549230580000,1095373.03,1195130.74,0.00,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549240810000,1091376.74,1195130.74,0.00,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549251000000,1090137.64,1195130.74,0.00,4559895.54,378365.39,0.00,0.00,0.00,0.00
1549261270000,1090207.61,1195130.74,0.00,4677734.24,401713.17,0.00,0.00,0.00,0.00
1549271490000,1090199.80,1195138.55,0.00,4795734.24,401713.17,0.00,0.00,0.00,0.00
1549281700000,1150199.80,1195138.55,0.00,4795734.24,401713.17,0.00,0.00,0.00,0.00
1549291940000,1128112.27,1266175.90,0.00,4697614.29,401713.17,0.00,0.00,0.00,0.00
1549302170000,1148153.97,1172357.53,0.00,4745335.97,385642.33,0.00,0.00,0.00,0.00
1549312400000,992600.52,1303921.64,0.00,4689768.59,474535.38,0.00,0.00,0.00,0.00
1549322640000,1123526.40,1276242.75,0.00,4638281.26,467266.09,0.00,0.00,0.00,0.00
1549332720000,1117096.34,1356231.13,0.00,4629106.15,467266.09,0.00,0.00,0.00,0.00
1549342890000,1151364.65,1437275.33,0.00,4629106.15,467266.09,0.00,0.00,0.00,0.00
1549353060000,1171441.62,1385505.46,0.00,4644606.15,467266.09,0.00,0.00,0.00,0.00
1549363320000,1171601.56,1387189.52,0.00,4644606.15,467266.09,0.00,0.00,0.00,0.00
1549373570000,1188870.15,1411564.31,0.00,4645538.75,467938.18,0.00,0.00,0.00,0.00
1549383870000,1188750.53,1629545.74,0.00,4608889.61,467938.18,0.00,0.00,0.00,0.00
1549394020000,1078056.58,1396189.94,0.00,4578083.97,469794.84,0.00,0.00,0.00,0.00
1549404200000,1127635.94,1396189.94,0.00,4580661.72,469794.84,0.00,0.00,0.00,0.00
1549414350000,1353153.97,1396189.94,0.00,4639361.72,469189.57,0.00,0.00,0.00,0.00
